movie_name,quote,ranking,score,score_num
七宗罪,警察抓小偷，老鼠玩死猫。,91,8.8,901714
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,92,9.0,541222
致命ID,最不可能的那个人永远是最可能的。,93,8.8,773293
杀人回忆,关于连环杀人悬案的集体回忆。,94,8.9,666592
红辣椒,梦的勾结。,95,9.1,429241
加勒比海盗,约翰尼·德普的独角戏。,96,8.8,814851
狩猎,人言可畏。,97,9.1,365843
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,98,8.9,673711
7号房的礼物,《我是山姆》的《美丽人生》。,99,8.9,525787
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,100,8.9,678207
哈利·波特与密室,魔法的密室之门已打开...,101,8.8,696457
一一,我们都曾经是一一。,102,9.1,361533
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,103,8.7,1015563
剪刀手爱德华,浪漫忧郁的成人童话。,104,8.7,995347
断背山,每个人心中都有一座断背山。,105,8.8,676648
勇敢的心,史诗大片的典范。,106,8.9,539566
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,107,8.9,631476
第六感,深入内心的恐怖，出人意料的结局。,108,8.9,526659
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,109,8.8,633516
重庆森林,寂寞没有期限。,110,8.8,764512
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,111,8.8,682927
幽灵公主,人与自然的战争史诗。,112,8.9,496819
天使爱美丽,法式小清新。 ,113,8.7,926621
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,114,8.9,561854
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,115,9.0,404783
超能陆战队,Balalala~~~,116,8.7,956937
阳光灿烂的日子,一场华丽的意淫。,117,8.9,584840
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,118,8.9,521298
完美的世界,坏人的好总是比好人的好来得更感人。,119,9.1,295080
无人知晓,我的平常生活就是他人的幸福。,120,9.1,299186
消失的爱人,年度最佳date movie。,121,8.7,880179
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,122,8.9,504776
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,123,8.9,520752
倩女幽魂,两张绝世的脸。 ,124,8.8,694498
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,125,9.0,360575
侧耳倾听,少女情怀总是诗。,126,8.9,436580
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,127,8.8,618631
幸福终点站,有时候幸福需要等一等。 ,128,8.8,534634
驯龙高手,和谐的生活离不开摸头与被摸头。,129,8.8,717377
萤火之森,触不到的恋人。,130,8.9,502918
寄生虫,,131,8.8,1298360
教父3,任何信念的力量，都无法改变命运。,132,9.0,349301
怪兽电力公司,不要给它起名字，起了名字就有感情了。,133,8.8,629975
一个叫欧维的男人决定去死,惠及一生的美丽。,134,8.9,438086
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,135,9.1,304833
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,136,8.9,407185
玩具总动员3,跨度十五年的欢乐与泪水。,137,8.9,484418
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,138,8.7,749042
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,139,8.6,902682
釜山行,揭露人性的丧尸题材力作。,140,8.6,1133066
告白,没有一人完全善，也没有一人完全恶。,141,8.8,644781
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,142,8.8,542289
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,143,8.8,575624
哈利·波特与火焰杯,,144,8.8,606776
